serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
Marítima,-0.9420552289129226,-1.2414519315321642,-2.1685218744621912,-0.27329251120456605,-1.1666674460827682,0.4407298591421673,-2.3619366614306228,-1.6439502265174823,-0.6604297920354877,0.7844645405527363,-1.6362269081607625,-0.5366563145999496,2.4159836036429696,-2.216248701635235,0.9751150913341066,-1.5724964104976458,-0.8660254037844392,0.3888660015253239,0.7509343773089566,-2.4473279283042233,2.420007364361595,2.0464397629042095
Valle Nuevo,0.9933312691726294,1.2840023031511487,0.8844013789730709,-1.5486575634925415,-0.3389517322471017,0.47868038337735075,0.4172081852099682,1.7241429204939447,0.7395862400318409,-0.5883484054145518,1.1117670178894847,-1.4758048651498612,-0.4822867457366383,-0.24509103288671905,0.3045699529607788,0.24083040466886463,1.154700538379251,-0.212248452226922,-1.5681276702628208,0.3437258326269985,-0.5584632379295991,-0.5853614267343398
Total,0.7048506842782509,-0.739447833602369,0.5984320112548341,1.0020725410834095,1.0924461647309942,-0.3484605809687792,0.32299988532384494,-0.5212525108470067,-0.38615612239955216,0.7844645405527363,0.8951980519046463,1.028591269649903,-0.4822867457366383,0.6309790421126208,0.2873764878742831,1.2417166007895986,1.154700538379251,-0.2952390670345138,0.4417261042993863,0.4399690657625575,-0.37230882528639925,-0.9017425873363905
San Cristobal,1.6299621229891588,0.695241999870953,0.5613805275459608,0.045548751867427816,0.27054391707583025,1.5609850647804502,-0.10093746416370264,-0.2405780819293878,2.1649088744957314,-0.5883484054145518,-0.01651386981103625,0.08944271909999155,-0.6415323693289235,0.3389556837795049,-2.377610600532532,0.13051677849589646,-0.8660254037844392,-1.3652796961086444,-1.5681276702628208,0.4399690657625575,-0.5584632379295991,-0.1543047576666142
Vía Terrestre,-1.0179480434081054,-1.3607871203719273,0.7871573580666298,-1.2298163004205478,1.7308276405735827,0.5706755415016124,0.27589573538078493,-0.5212525108470067,-0.7614035765433469,-1.96116135138184,1.0963540815122237,-1.1627553482998907,-0.4822867457366383,1.2150257587788464,0.23579609261479653,1.3785206247732842,1.154700538379251,-1.1599211475682334,0.4417261042993863,0.3437258326269985,-0.5584632379295991,-1.1600267589274802
Vía Aérea,-0.6915228120313015,0.6733419530607161,-0.3686855463250603,1.0020725410834095,-0.7797025619919379,-1.4941362042542414,0.7940413847544546,0.601445204823469,-0.5482528117745924,0.7844645405527363,-0.8497927253164034,1.028591269649903,-0.16379549855206568,0.11993816502967104,0.2873764878742831,-0.7491452789434085,-0.8660254037844392,1.2436051651477222,0.7509343773089566,0.4399690657625575,-0.1861544126431995,0.40762477174984857
La Aurora,-0.6766179920877092,0.6891006294236435,-0.2941638550532454,1.0020725410834095,-0.8084959820585994,-1.2084740635785616,0.6527289349252714,0.601445204823469,-0.5482528117745924,0.7844645405527363,-0.600785648018153,1.028591269649903,-0.16379549855206568,0.15644108482131053,0.2873764878742831,-0.6699427192865866,-0.8660254037844392,1.400217196265265,0.7509343773089566,0.4399690657625575,-0.1861544126431995,0.34737099601076676
