Fecha,Viajero
2009-01-01,81271.0
2009-02-01,69663.0
2009-03-01,84051.0
2009-04-01,80247.0
2009-05-01,64456.0
2009-06-01,81382.0
2009-07-01,74653.0
2009-08-01,75763.0
2009-09-01,61861.0
2009-10-01,72828.0
2009-11-01,82212.0
2009-12-01,103686.0
2010-01-01,84867.0
2010-02-01,68976.0
2010-03-01,88502.0
2010-04-01,76253.0
2010-05-01,64915.0
2010-06-01,84460.0
2010-07-01,102148.0
2010-08-01,79034.0
2010-09-01,62772.0
2010-10-01,76192.0
2010-11-01,84269.0
2010-12-01,99374.0
2011-01-01,81528.0
2011-02-01,69003.0
2011-03-01,77452.0
2011-04-01,76906.0
2011-05-01,67989.0
2011-06-01,82227.0
2011-07-01,97440.0
2011-08-01,77293.0
2011-09-01,65207.0
2011-10-01,71504.0
2011-11-01,85769.0
2011-12-01,100923.0
2012-01-01,80805.0
2012-02-01,69673.0
2012-03-01,84290.0
2012-04-01,74743.0
2012-05-01,71823.0
2012-06-01,87683.0
2012-07-01,96093.0
2012-08-01,72094.0
2012-09-01,65590.0
2012-10-01,75312.0
2012-11-01,87621.0
2012-12-01,102147.0
2013-01-01,79816.0
2013-02-01,68700.0
2013-03-01,90702.0
2013-04-01,72051.0
2013-05-01,70872.0
2013-06-01,89021.0
2013-07-01,95070.0
2013-08-01,77804.0
2013-09-01,66442.0
2013-10-01,79438.0
2013-11-01,92265.0
2013-12-01,112230.0
2014-01-01,89922.0
2014-02-01,77948.0
2014-03-01,91935.0
2014-04-01,89382.0
2014-05-01,80202.0
2014-06-01,98962.0
2014-07-01,102567.0
2014-08-01,86299.0
2014-09-01,73502.0
2014-10-01,86176.0
2014-11-01,95629.0
2014-12-01,117614.0
2015-01-01,94819.0
2015-02-01,79713.0
2015-03-01,97898.0
2015-04-01,87359.0
2015-05-01,84177.0
2015-06-01,104714.0
2015-07-01,106690.0
2015-08-01,90393.0
2015-09-01,82741.0
2015-10-01,97079.0
2015-11-01,109966.0
2015-12-01,129455.0
2016-01-01,108808.0
2016-02-01,90711.0
2016-03-01,116938.0
2016-04-01,90733.0
2016-05-01,96208.0
2016-06-01,112889.0
2016-07-01,129819.0
2016-08-01,100692.0
2016-09-01,80492.85714285722
2016-10-01,102044.0
2016-11-01,111728.0
2016-12-01,111577.0
2017-01-01,98917.0
2017-02-01,94381.0
2017-03-01,106087.0
2017-04-01,109982.00000000001
2017-05-01,89609.0
2017-06-01,113862.99999999999
2017-07-01,134157.0
2017-08-01,100248.0
2017-09-01,90876.0
2017-10-01,108942.00000000001
2017-11-01,121191.99999999999
2017-12-01,142567.0
2018-01-01,117165.0
2018-02-01,95580.0
2018-03-01,123800.0
2018-04-01,104723.0
2018-05-01,103663.0
2018-06-01,120538.00000000009
2018-07-01,134593.0
2018-08-01,110390.00000000073
2018-09-01,94811.29173150646
2018-10-01,114884.9962847312
2018-11-01,135243.36194730835
2018-12-01,156190.3959668107
2019-01-01,126438.70492856001
2019-02-01,106444.17419556303
2019-03-01,118787.0220572801
2019-04-01,125251.99999999897
2019-05-01,109451.99999999949
2019-06-01,127541.99999999904
2019-07-01,138480.64109759167
2019-08-01,114840.99999999999
2019-09-01,101114.99999999949
2019-10-01,118992.99999999866
2019-11-01,136891.00000000227
2019-12-01,157465.00000000003
2020-01-01,130440.00219828535
2020-02-01,112587.99999999996
2020-03-01,54740.992130115425
2020-04-01,484.0
2020-05-01,608.0
2020-06-01,1418.0
2020-07-01,1047.0
2020-08-01,1259.0
2020-09-01,5598.0
2020-10-01,5306.932304319845
2020-11-01,38988.0
2020-12-01,50370.0
2021-01-01,40801.0
2021-02-01,28780.0
2021-03-01,58806.13961892685
